# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 678  of event 'cache-misses'
# Event count (approx.): 5848014
#
# Overhead  Command         Shared Object         Symbol                
# ........  ..............  ....................  ......................
#
     0.00%  part2-parallel  [unknown]             [k] 0xffffffffa686a72b


# Samples: 821  of event 'cache-references'
# Event count (approx.): 32001962
#
# Overhead  Command         Shared Object         Symbol                             
# ........  ..............  ....................  ...................................
#
    79.51%  part2-parallel  part2-parallel        [.] compute_averages
     5.76%  part2-parallel  [unknown]             [k] 0xffffffffa7987dba
     2.43%  part2-parallel  [unknown]             [k] 0xffffffffa7987717
     0.63%  part2-parallel  [unknown]             [k] 0xffffffffa6bb76b5
     0.60%  part2-parallel  [unknown]             [k] 0xffffffffa6cba1f0
     0.52%  part2-parallel  [unknown]             [k] 0xffffffffa690a402
     0.48%  part2-parallel  [unknown]             [k] 0xffffffffa6bca223
     0.42%  part2-parallel  [unknown]             [k] 0xffffffffa6cb0f75
     0.37%  part2-parallel  [unknown]             [k] 0xffffffffa6b954a4
     0.36%  part2-parallel  [unknown]             [k] 0xffffffffa6cbd49d
     0.31%  part2-parallel  [unknown]             [k] 0xffffffffa6c647b9
     0.29%  part2-parallel  [unknown]             [k] 0xffffffffa6bca126
     0.25%  part2-parallel  [unknown]             [k] 0xffffffffa6bb6f16
     0.24%  part2-parallel  [unknown]             [k] 0xffffffffa6cb6d9a
     0.23%  part2-parallel  [unknown]             [k] 0xffffffffa6bc9112
     0.21%  part2-parallel  ld-linux-x86-64.so.2  [.] _dl_fixup
     0.21%  part2-parallel  [unknown]             [k] 0xffffffffa6c4b35c
     0.19%  part2-parallel  [unknown]             [k] 0xffffffffa6c383c3
     0.19%  part2-parallel  [unknown]             [k] 0xffffffffa6805cd5
     0.18%  part2-parallel  [unknown]             [k] 0xffffffffa69738cb
     0.16%  part2-parallel  [unknown]             [k] 0xffffffffa6c46b3b
     0.15%  part2-parallel  [unknown]             [k] 0xffffffffa7a084ce
     0.15%  part2-parallel  [unknown]             [k] 0xffffffffa6c185f8
     0.15%  part2-parallel  [unknown]             [k] 0xffffffffa6c470c6
     0.15%  part2-parallel  [unknown]             [k] 0xffffffffa70fdccc
     0.14%  part2-parallel  [unknown]             [k] 0xffffffffa6c18840
     0.14%  part2-parallel  [unknown]             [k] 0xffffffffa7a1fd65
     0.14%  part2-parallel  [unknown]             [k] 0xffffffffa6c465ff
     0.14%  part2-parallel  [unknown]             [k] 0xffffffffa7a084ba
     0.13%  part2-parallel  [unknown]             [k] 0xffffffffa6c4674f
     0.13%  part2-parallel  [unknown]             [k] 0xffffffffa6cba0f1
     0.13%  part2-parallel  [unknown]             [k] 0xffffffffa6bc91e3
     0.13%  part2-parallel  [unknown]             [k] 0xffffffffa6b954b8
     0.12%  part2-parallel  [unknown]             [k] 0xffffffffa6cbd4ba
     0.12%  part2-parallel  [unknown]             [k] 0xffffffffa6c3550b
     0.12%  part2-parallel  [unknown]             [k] 0xffffffffa6bca07b
     0.12%  part2-parallel  [unknown]             [k] 0xffffffffa6bb777d
     0.12%  part2-parallel  [unknown]             [k] 0xffffffffa699cc20
     0.12%  part2-parallel  [unknown]             [k] 0xffffffffa6cb6d63
     0.12%  part2-parallel  [unknown]             [k] 0xffffffffa6bb772d
     0.12%  part2-parallel  [unknown]             [k] 0xffffffffa6c46554
     0.12%  part2-parallel  [unknown]             [k] 0xffffffffa6bca0ae
     0.12%  part2-parallel  [unknown]             [k] 0xffffffffa6bb730b
     0.12%  part2-parallel  [unknown]             [k] 0xffffffffa6cb1298
     0.12%  part2-parallel  [unknown]             [k] 0xffffffffa6bf0320
     0.12%  part2-parallel  [unknown]             [k] 0xffffffffa6bc919e
     0.12%  part2-parallel  [unknown]             [k] 0xffffffffa6c15143
     0.12%  part2-parallel  [unknown]             [k] 0xffffffffa6ce22a6
     0.12%  part2-parallel  [unknown]             [k] 0xffffffffa6c1eceb
     0.12%  part2-parallel  [unknown]             [k] 0xffffffffa6bcb0f8
     0.12%  part2-parallel  [unknown]             [k] 0xffffffffa6cb1299
     0.12%  part2-parallel  [unknown]             [k] 0xffffffffa69d11b1
     0.12%  part2-parallel  [unknown]             [k] 0xffffffffa6c54f5e
     0.12%  part2-parallel  [unknown]             [k] 0xffffffffa6cbd424
     0.12%  part2-parallel  [unknown]             [k] 0xffffffffa6bca087
     0.12%  part2-parallel  [unknown]             [k] 0xffffffffa6bb6f02
     0.12%  part2-parallel  [unknown]             [k] 0xffffffffa6c49ecb
     0.12%  part2-parallel  [unknown]             [k] 0xffffffffa6cbd465
     0.12%  part2-parallel  [unknown]             [k] 0xffffffffc514bfed
     0.11%  part2-parallel  [unknown]             [k] 0xffffffffa697f84e
     0.11%  part2-parallel  [unknown]             [k] 0xffffffffa6a02da2
     0.11%  part2-parallel  [unknown]             [k] 0xffffffffa7a20076
     0.11%  part2-parallel  [unknown]             [k] 0xffffffffa6b95494
     0.11%  part2-parallel  [unknown]             [k] 0xffffffffa6c18013
     0.11%  part2-parallel  [unknown]             [k] 0xffffffffa6bb0aad
     0.11%  part2-parallel  libc.so.6             [.] pthread_mutex_lock@@GLIBC_2.2.5
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6965980
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6806fe8
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6c2a258
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa6bab597
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa7a1f4b6
     0.10%  part2-parallel  [unknown]             [k] 0xffffffffa69665d5
     0.08%  part2-parallel  [unknown]             [k] 0xffffffffa6967fcf
     0.08%  part2-parallel  [unknown]             [k] 0xffffffffa6cf6c56
     0.02%  part2-parallel  [unknown]             [k] 0xffffffffa686e66a
     0.02%  part2-parallel  [unknown]             [k] 0xffffffffa686a72b
     0.02%  part2-parallel  [unknown]             [k] 0xffffffffa686a764
     0.01%  part2-parallel  [unknown]             [k] 0xffffffffa686a107
     0.01%  part2-parallel  [unknown]             [k] 0xffffffffa686a73b
     0.01%  part2-parallel  [unknown]             [k] 0xffffffffa7a06ad5
